Lokasi,Tren,Tanggal Listing,Harga,Harga Asli,Omset 30 Hari,Rata-rata Omset per bulan,Omset Total,Penjualan 30 Hari,Rata-rata Penjualan per bulan,Penjualan Total,Jumlah Stok,Nilai Stok,Rating,Jumlah Ulasan,Wishlist,Category,Harga_encoded,Rata-rata Penjualan per bulan_outlier_flag,Rata-rata Omset per bulan_outlier_flag,Nilai Stok_outlier_flag
KAB. PEMALANG,72.0,2020-08-28,4999,0,1684663,470582,22925414,337.0,94,4586.0,880,4399120,4.505000000000001,1406.0,396.0,misc,64462.5,False,False,False
KOTA JAKARTA SELATAN,-16.0,2023-01-07,34110,37900,12654810,14760917,301123080,371.0,432,8828.0,805,27458550,4.87,3095.0,8836.0,misc,37200.0,False,False,False
KAB. TANGERANG,83.0,2020-04-24,63665,74900,67994220,11382040,601443255,1068.0,178,9447.0,5,318325,4.93,3515.0,9833.0,misc,39000.0,False,False,False
KOTA DEPOK,9.0,2023-11-09,13500,30000,13851000,12583607,130207500,1026.0,932,9645.0,1605,21667500,4.79,2804.0,1098.0,misc,46500.0,False,False,False
KOTA JAKARTA BARAT,-56.0,2023-07-29,15000,16500,1755000,2743547,37500000,117.0,182,2500.0,69,1035000,4.57,801.0,1133.0,misc,17500.0,False,False,False
KOTA JAKARTA UTARA,6.0,2018-02-07,4800,0,3086400,2887209,229228800,643.0,601,47756.0,1157,5553600,4.63,5163.0,2124.0,misc,50000.0,False,False,False
KOTA TANGERANG,13.0,2023-12-09,6999,0,3233538,2801539,26127267,462.0,400,3733.0,68,475932,4.69,1173.0,507.0,misc,60000.0,False,False,False
KOTA JAKARTA TIMUR,34.0,2022-07-17,69500,139000,23560500,15483291,403447500,339.0,222,5805.0,337,23421500,4.92,2094.0,6072.0,misc,56400.0,False,False,False
KOTA SURABAYA,17.0,2024-07-23,21999,40000,9261579,7664794,14321349,421.0,348,651.0,153,3365847,4.82,236.0,66.0,misc,16221.5,False,False,False
KOTA BANJARMASIN,-21.0,2024-08-02,49500,56900,13513500,16383682,25740000,273.0,330,520.0,23,1138500,4.77,158.0,102.0,misc,20700.0,False,False,False
